customer_id,contact_date,age,job,marital,education,age_group
133,2024-05-23,40,Blue-Collar,married,primary,Middle Aged
134,2024-05-23,31,Blue-Collar,married,secondary,Young Adult
135,2024-05-26,30,Technician,married,tertiary,Young Adult
136,2024-05-26,44,Technician,divorced,secondary,Middle Aged
137,2024-05-26,34,Services,married,secondary,Young Adult
138,2024-05-26,37,Blue-Collar,married,secondary,Young Adult
139,2024-05-26,28,Self-Employed,single,tertiary,Young Adult
140,2024-05-26,32,Admin,single,secondary,Young Adult
141,2024-05-26,37,Blue-Collar,divorced,secondary,Young Adult
142,2024-05-26,34,Management,married,tertiary,Young Adult
143,2024-05-26,38,Admin,divorced,secondary,Young Adult
144,2024-05-26,28,Admin,single,secondary,Young Adult
145,2024-05-26,31,Management,divorced,tertiary,Young Adult
146,2024-05-26,59,Services,married,secondary,Middle Aged
147,2024-05-26,24,Blue-Collar,married,secondary,Young Adult
148,2024-05-26,26,Services,single,secondary,Young Adult
149,2024-05-27,59,Retired,single,secondary,Middle Aged
150,2024-05-27,30,Entrepreneur,single,primary,Young Adult
151,2024-05-27,37,Admin,married,secondary,Young Adult
152,2024-05-27,30,Admin,single,secondary,Young Adult
153,2024-05-27,25,Blue-Collar,married,secondary,Young Adult
154,2024-05-27,44,Services,divorced,secondary,Middle Aged
155,2024-05-28,29,Management,married,tertiary,Young Adult
156,2024-05-28,26,Management,single,tertiary,Young Adult
157,2024-05-28,26,Technician,single,secondary,Young Adult
158,2024-05-28,27,Services,single,secondary,Young Adult
159,2024-05-28,25,Self-Employed,single,secondary,Young Adult
160,2024-05-28,28,Management,married,secondary,Young Adult
161,2024-05-28,23,Services,single,secondary,Young Adult
162,2024-05-28,34,Management,single,tertiary,Young Adult
163,2024-05-28,28,Student,single,secondary,Young Adult
164,2024-05-28,51,Entrepreneur,married,unknown,Middle Aged
165,2024-05-29,35,Blue-Collar,married,secondary,Young Adult
166,2024-05-29,35,Admin,married,secondary,Young Adult
167,2024-05-29,56,Blue-Collar,married,secondary,Middle Aged
168,2024-05-29,45,Unemployed,divorced,secondary,Middle Aged
169,2024-05-29,60,Blue-Collar,divorced,secondary,Elderly
170,2024-05-29,56,Technician,married,secondary,Middle Aged
171,2024-05-29,27,Management,single,tertiary,Young Adult
172,2024-05-29,30,Admin,married,secondary,Young Adult
173,2024-05-29,45,Blue-Collar,divorced,primary,Middle Aged
174,2024-05-29,29,Blue-Collar,single,secondary,Young Adult
175,2024-05-29,38,Management,divorced,tertiary,Young Adult
176,2024-05-29,30,Blue-Collar,married,secondary,Young Adult
177,2024-05-29,44,Blue-Collar,single,primary,Middle Aged
178,2024-05-30,36,Management,single,tertiary,Young Adult
179,2024-05-30,38,Technician,married,secondary,Young Adult
180,2024-05-30,36,Blue-Collar,single,secondary,Young Adult
181,2024-05-30,37,Management,divorced,secondary,Young Adult
182,2024-05-30,35,Management,single,tertiary,Young Adult
183,2024-05-30,38,Admin,divorced,secondary,Young Adult
184,2024-05-30,40,Services,married,primary,Middle Aged
185,2024-05-30,42,Unemployed,divorced,secondary,Middle Aged
186,2024-05-30,46,Management,divorced,tertiary,Middle Aged
187,2024-05-30,35,Technician,divorced,secondary,Young Adult
188,2024-05-30,34,Technician,divorced,secondary,Young Adult
189,2024-05-30,32,Services,married,secondary,Young Adult
190,2024-05-30,50,Unemployed,married,secondary,Middle Aged
191,2024-05-30,35,Blue-Collar,married,secondary,Young Adult
192,2024-05-30,36,Technician,single,secondary,Young Adult
193,2024-05-30,53,Blue-Collar,divorced,primary,Middle Aged
194,2024-05-30,46,Management,single,tertiary,Middle Aged
195,2024-05-30,26,Management,single,tertiary,Young Adult
196,2024-05-30,45,Technician,single,secondary,Middle Aged
197,2024-05-30,31,Unemployed,divorced,primary,Young Adult
198,2024-05-30,29,Management,single,tertiary,Young Adult
199,2024-05-30,53,Entrepreneur,single,secondary,Middle Aged
200,2024-05-30,27,Blue-Collar,married,primary,Young Adult
201,2024-06-02,39,Management,married,tertiary,Young Adult
202,2024-06-02,36,Services,married,secondary,Young Adult
203,2024-06-02,41,Blue-Collar,married,primary,Middle Aged
204,2024-06-02,36,Services,married,primary,Young Adult
205,2024-06-02,32,Technician,married,secondary,Young Adult
206,2024-06-02,35,Services,married,secondary,Young Adult
207,2024-06-02,36,Management,single,tertiary,Young Adult
208,2024-06-02,35,Management,married,tertiary,Young Adult
209,2024-06-02,30,Blue-Collar,single,secondary,Young Adult
210,2024-06-02,42,Blue-Collar,married,secondary,Middle Aged
211,2024-06-02,42,Technician,single,secondary,Middle Aged
212,2024-06-02,32,Blue-Collar,married,primary,Young Adult
213,2024-06-02,29,Blue-Collar,single,secondary,Young Adult
214,2024-06-02,44,Management,divorced,tertiary,Middle Aged
215,2024-06-03,32,Technician,single,secondary,Young Adult
216,2024-06-03,31,Unemployed,married,secondary,Young Adult
217,2024-06-03,40,Self-Employed,married,secondary,Middle Aged
218,2024-06-03,43,Entrepreneur,married,secondary,Middle Aged
219,2024-06-03,27,Management,single,secondary,Young Adult
220,2024-06-03,37,Services,single,secondary,Young Adult
221,2024-06-03,23,Services,single,secondary,Young Adult
222,2024-06-03,25,Management,married,primary,Young Adult
223,2024-06-03,26,Blue-Collar,single,secondary,Young Adult
224,2024-06-03,47,Blue-Collar,divorced,primary,Middle Aged
225,2024-06-03,35,Admin,married,secondary,Young Adult
226,2024-06-03,32,Technician,single,tertiary,Young Adult
227,2024-06-04,45,Management,divorced,secondary,Middle Aged
228,2024-06-04,30,Admin,divorced,secondary,Young Adult
229,2024-06-04,29,Services,single,secondary,Young Adult
230,2024-06-04,38,Blue-Collar,married,primary,Young Adult
231,2024-06-04,23,Blue-Collar,single,secondary,Young Adult
232,2024-06-04,27,Management,single,tertiary,Young Adult
233,2024-06-04,27,Management,single,tertiary,Young Adult
234,2024-06-04,29,Services,single,secondary,Young Adult
235,2024-06-04,30,Self-Employed,married,tertiary,Young Adult
236,2024-06-04,36,Blue-Collar,married,primary,Young Adult
237,2024-06-04,35,Admin,divorced,secondary,Young Adult
238,2024-06-05,36,Blue-Collar,married,secondary,Young Adult
239,2024-06-05,59,Retired,divorced,primary,Middle Aged
240,2024-06-05,47,Entrepreneur,married,secondary,Middle Aged
241,2024-06-05,58,Entrepreneur,married,tertiary,Middle Aged
242,2024-06-05,37,Management,single,tertiary,Young Adult
243,2024-06-05,46,Admin,single,secondary,Middle Aged
244,2024-06-05,43,Blue-Collar,single,secondary,Middle Aged
245,2024-06-05,27,Management,single,tertiary,Young Adult
246,2024-06-05,38,Services,divorced,secondary,Young Adult
247,2024-06-05,53,Housemaid,married,primary,Middle Aged
248,2024-06-05,47,Blue-Collar,married,secondary,Middle Aged
249,2024-06-05,56,Housemaid,divorced,primary,Middle Aged
250,2024-06-05,41,Housemaid,married,secondary,Middle Aged
251,2024-06-05,29,Self-Employed,married,secondary,Young Adult
252,2024-06-05,50,Technician,married,secondary,Middle Aged
253,2024-06-05,45,Blue-Collar,divorced,primary,Middle Aged
254,2024-06-05,35,Blue-Collar,married,secondary,Young Adult
255,2024-06-06,26,Technician,single,secondary,Young Adult
256,2024-06-06,26,Admin,married,secondary,Young Adult
257,2024-06-06,37,Blue-Collar,married,unknown,Young Adult
258,2024-06-06,30,Admin,single,secondary,Young Adult
259,2024-06-06,38,Management,single,tertiary,Young Adult
260,2024-06-06,37,Services,divorced,secondary,Young Adult
261,2024-06-06,53,Technician,married,secondary,Middle Aged
262,2024-06-06,29,Blue-Collar,single,primary,Young Adult
263,2024-06-06,35,Management,single,tertiary,Young Adult
264,2024-06-06,28,Blue-Collar,married,secondary,Young Adult
265,2024-06-06,55,Blue-Collar,married,unknown,Middle Aged
266,2024-06-09,49,Management,divorced,secondary,Middle Aged
267,2024-06-09,50,Services,married,secondary,Middle Aged
268,2024-06-09,43,Management,single,tertiary,Middle Aged
269,2024-06-09,58,Self-Employed,divorced,tertiary,Middle Aged
270,2024-06-09,38,Technician,married,primary,Young Adult
271,2024-06-09,48,Blue-Collar,divorced,primary,Middle Aged
272,2024-06-09,59,Management,married,secondary,Middle Aged
273,2024-06-09,58,Blue-Collar,married,secondary,Middle Aged
274,2024-06-09,36,Self-Employed,single,tertiary,Young Adult
275,2024-06-11,42,Entrepreneur,married,tertiary,Middle Aged
276,2024-06-11,41,Admin,single,secondary,Middle Aged
277,2024-06-11,42,Admin,married,secondary,Middle Aged
278,2024-06-11,39,Management,married,tertiary,Young Adult
279,2024-06-11,57,Housemaid,married,primary,Middle Aged
280,2024-06-11,52,Retired,married,unknown,Middle Aged
281,2024-06-11,59,Retired,married,unknown,Middle Aged
282,2024-06-11,56,Blue-Collar,married,secondary,Middle Aged
283,2024-06-11,49,Management,married,tertiary,Middle Aged
284,2024-06-11,35,Blue-Collar,divorced,unknown,Young Adult
285,2024-06-11,36,Unemployed,married,secondary,Young Adult
286,2024-06-11,40,Admin,single,tertiary,Middle Aged
287,2024-06-12,55,Blue-Collar,married,secondary,Middle Aged
288,2024-06-12,58,Admin,married,secondary,Middle Aged
289,2024-06-12,39,Self-Employed,married,tertiary,Young Adult
290,2024-06-12,47,Housemaid,single,tertiary,Middle Aged
291,2024-06-12,40,Management,married,secondary,Middle Aged
292,2024-06-12,35,Blue-Collar,married,tertiary,Young Adult
293,2024-06-12,48,Blue-Collar,married,secondary,Middle Aged
294,2024-06-12,48,Management,divorced,tertiary,Middle Aged
295,2024-06-12,24,Blue-Collar,single,secondary,Young Adult
296,2024-06-16,49,Blue-Collar,married,primary,Middle Aged
297,2024-06-16,36,Blue-Collar,married,secondary,Young Adult
298,2024-06-16,52,Retired,divorced,tertiary,Middle Aged
299,2024-06-16,42,Entrepreneur,single,unknown,Middle Aged
300,2024-06-16,36,Services,married,secondary,Young Adult
301,2024-06-16,36,Blue-Collar,divorced,secondary,Young Adult
302,2024-06-16,48,Unemployed,single,tertiary,Middle Aged
303,2024-06-16,51,Management,single,secondary,Middle Aged
304,2024-06-16,51,Blue-Collar,married,secondary,Middle Aged
305,2024-06-16,46,Technician,married,secondary,Middle Aged
306,2024-06-16,37,Management,married,tertiary,Young Adult
307,2024-06-16,36,Entrepreneur,married,tertiary,Young Adult
308,2024-06-17,47,Management,married,secondary,Middle Aged
309,2024-06-17,40,Technician,divorced,tertiary,Middle Aged
310,2024-06-17,38,Student,single,tertiary,Young Adult
311,2024-06-17,40,Management,married,secondary,Middle Aged
312,2024-06-17,39,Blue-Collar,married,primary,Young Adult
313,2024-06-17,60,Management,married,tertiary,Elderly
314,2024-06-18,39,Self-Employed,single,tertiary,Young Adult
315,2024-06-18,51,Services,divorced,secondary,Middle Aged
316,2024-06-18,27,Admin,married,secondary,Young Adult
317,2024-06-18,41,Management,single,tertiary,Middle Aged
318,2024-06-18,42,Blue-Collar,single,primary,Middle Aged
319,2024-06-18,41,Entrepreneur,married,secondary,Middle Aged
320,2024-06-18,33,Technician,married,secondary,Young Adult
321,2024-06-18,46,Admin,married,secondary,Middle Aged
322,2024-06-18,31,Blue-Collar,married,secondary,Young Adult
323,2024-06-18,41,Blue-Collar,married,primary,Middle Aged
324,2024-06-19,41,Blue-Collar,divorced,secondary,Middle Aged
325,2024-06-19,55,Retired,divorced,secondary,Middle Aged
326,2024-06-19,53,Technician,married,secondary,Middle Aged
327,2024-06-19,55,Housemaid,married,primary,Middle Aged
328,2024-06-19,39,Services,married,secondary,Young Adult
329,2024-06-19,40,Entrepreneur,married,tertiary,Middle Aged
330,2024-06-19,59,Retired,married,primary,Middle Aged
331,2024-06-19,42,Blue-Collar,single,secondary,Middle Aged
332,2024-06-19,41,Blue-Collar,married,primary,Middle Aged
333,2024-06-19,27,Blue-Collar,married,secondary,Young Adult
334,2024-06-19,25,Blue-Collar,single,secondary,Young Adult
335,2024-06-20,43,Unemployed,married,primary,Middle Aged
336,2024-06-20,44,Services,married,secondary,Middle Aged
337,2024-06-20,26,Blue-Collar,single,secondary,Young Adult
338,2024-06-20,52,Retired,married,tertiary,Middle Aged
339,2024-06-20,54,Services,married,unknown,Middle Aged
340,2024-06-20,56,Management,married,tertiary,Middle Aged
341,2024-06-20,57,Management,married,tertiary,Middle Aged
342,2024-06-20,29,Blue-Collar,single,secondary,Young Adult
343,2024-06-20,47,Technician,married,tertiary,Middle Aged
344,2024-06-20,57,Management,married,tertiary,Middle Aged
345,2024-06-20,40,Blue-Collar,married,secondary,Middle Aged
346,2024-06-20,46,Services,divorced,secondary,Middle Aged
347,2024-06-20,43,Blue-Collar,single,secondary,Middle Aged
348,2024-06-20,45,Management,married,tertiary,Middle Aged
349,2024-06-20,24,Management,married,secondary,Young Adult
350,2024-06-20,40,Blue-Collar,married,secondary,Middle Aged
351,2024-06-20,38,Services,divorced,unknown,Young Adult
352,2024-06-20,36,Unemployed,married,tertiary,Young Adult
353,2024-06-23,27,Blue-Collar,single,secondary,Young Adult
354,2024-06-23,26,Admin,single,primary,Young Adult
355,2024-06-23,43,Management,married,tertiary,Middle Aged
356,2024-06-24,25,Blue-Collar,single,primary,Young Adult
357,2024-06-26,27,Blue-Collar,married,tertiary,Young Adult
358,2024-06-26,30,Technician,married,tertiary,Young Adult
359,2024-06-26,28,Admin,single,secondary,Young Adult
360,2024-06-27,27,Blue-Collar,married,primary,Young Adult
361,2024-06-27,32,Admin,divorced,secondary,Young Adult
362,2024-07-01,41,Blue-Collar,single,secondary,Middle Aged
363,2024-07-01,37,Technician,single,tertiary,Young Adult
364,2024-07-01,27,Technician,single,secondary,Young Adult
365,2024-07-03,29,Services,single,secondary,Young Adult
366,2024-07-03,33,Services,married,secondary,Young Adult
367,2024-07-04,36,Technician,married,primary,Young Adult
368,2024-07-04,28,Blue-Collar,single,secondary,Young Adult
369,2024-07-07,55,Blue-Collar,married,secondary,Middle Aged
370,2024-07-07,51,Technician,married,secondary,Middle Aged
371,2024-07-07,39,Technician,single,secondary,Young Adult
372,2024-07-07,42,Blue-Collar,divorced,primary,Middle Aged
373,2024-07-07,33,Services,single,secondary,Young Adult
374,2024-07-07,36,Entrepreneur,divorced,tertiary,Young Adult
375,2024-07-07,45,Technician,married,secondary,Middle Aged
376,2024-07-07,37,Self-Employed,married,secondary,Young Adult
377,2024-07-07,46,Unemployed,married,secondary,Middle Aged
378,2024-07-07,32,Self-Employed,single,tertiary,Young Adult
379,2024-07-07,28,Technician,single,secondary,Young Adult
380,2024-07-07,45,Admin,divorced,secondary,Middle Aged
381,2024-07-07,41,Blue-Collar,single,secondary,Middle Aged
382,2024-07-07,59,Blue-Collar,divorced,primary,Middle Aged
383,2024-07-07,47,Technician,single,secondary,Middle Aged
384,2024-07-07,31,Blue-Collar,single,secondary,Young Adult
385,2024-07-08,31,Management,single,tertiary,Young Adult
386,2024-07-08,33,Entrepreneur,married,secondary,Young Adult
387,2024-07-08,52,Entrepreneur,married,tertiary,Middle Aged
388,2024-07-08,26,Self-Employed,single,secondary,Young Adult
389,2024-07-08,25,Technician,single,secondary,Young Adult
390,2024-07-08,25,Blue-Collar,married,secondary,Young Adult
391,2024-07-08,28,Blue-Collar,single,secondary,Young Adult
392,2024-07-08,33,Entrepreneur,divorced,tertiary,Young Adult
393,2024-07-08,45,Management,divorced,tertiary,Middle Aged
394,2024-07-08,36,Services,married,secondary,Young Adult
395,2024-07-08,26,Blue-Collar,single,secondary,Young Adult
396,2024-07-08,38,Technician,married,secondary,Young Adult
397,2024-07-08,56,Blue-Collar,single,secondary,Middle Aged
398,2024-07-08,26,Admin,single,secondary,Young Adult
399,2024-07-08,26,Technician,married,secondary,Young Adult
400,2024-07-08,25,Blue-Collar,single,secondary,Young Adult
401,2024-07-09,26,Unemployed,single,secondary,Young Adult
402,2024-07-09,40,Blue-Collar,married,primary,Middle Aged
403,2024-07-09,37,Admin,married,primary,Young Adult
404,2024-07-09,43,Blue-Collar,single,primary,Middle Aged
405,2024-07-09,41,Services,divorced,tertiary,Middle Aged
406,2024-07-09,49,Blue-Collar,married,secondary,Middle Aged
407,2024-07-09,29,Admin,divorced,tertiary,Young Adult
408,2024-07-09,39,Services,divorced,secondary,Young Adult
409,2024-07-09,38,Management,married,tertiary,Young Adult
410,2024-07-09,26,Technician,married,secondary,Young Adult
411,2024-07-09,32,Management,married,tertiary,Young Adult
412,2024-07-09,33,Blue-Collar,married,primary,Young Adult
413,2024-07-09,31,Management,single,tertiary,Young Adult
414,2024-07-09,49,Blue-Collar,married,primary,Middle Aged
415,2024-07-09,27,Unemployed,single,primary,Young Adult
416,2024-07-09,30,Blue-Collar,single,secondary,Young Adult
417,2024-07-10,35,Blue-Collar,married,secondary,Young Adult
418,2024-07-10,26,Blue-Collar,single,secondary,Young Adult
419,2024-07-10,45,Entrepreneur,married,unknown,Middle Aged
420,2024-07-10,34,Admin,married,secondary,Young Adult
421,2024-07-10,28,Admin,single,secondary,Young Adult
422,2024-07-10,25,Blue-Collar,single,secondary,Young Adult
423,2024-07-10,30,Blue-Collar,single,secondary,Young Adult
424,2024-07-10,30,Services,married,secondary,Young Adult
425,2024-07-10,47,Services,married,secondary,Middle Aged
426,2024-07-10,57,Admin,divorced,secondary,Middle Aged
427,2024-07-10,38,Management,married,tertiary,Young Adult
428,2024-07-10,54,Technician,married,secondary,Middle Aged
429,2024-07-10,25,Blue-Collar,single,primary,Young Adult
430,2024-07-10,30,Blue-Collar,married,secondary,Young Adult
431,2024-07-10,26,Management,single,tertiary,Young Adult
432,2024-07-10,31,Student,married,primary,Young Adult
433,2024-07-10,29,Blue-Collar,single,secondary,Young Adult
434,2024-07-11,49,Blue-Collar,married,secondary,Middle Aged
435,2024-07-11,60,Retired,divorced,secondary,Elderly
436,2024-07-11,60,Management,married,tertiary,Elderly
437,2024-07-11,29,Management,single,tertiary,Young Adult
438,2024-07-11,55,Management,divorced,secondary,Middle Aged
439,2024-07-11,44,Admin,married,secondary,Middle Aged
440,2024-07-11,47,Technician,married,secondary,Middle Aged
441,2024-07-11,35,Admin,married,secondary,Young Adult
442,2024-07-14,35,Entrepreneur,married,secondary,Young Adult
443,2024-07-14,38,Technician,married,secondary,Young Adult
444,2024-07-14,34,Entrepreneur,married,tertiary,Young Adult
445,2024-07-14,50,Technician,married,secondary,Middle Aged
446,2024-07-14,43,Admin,married,tertiary,Middle Aged
447,2024-07-14,44,Admin,divorced,secondary,Middle Aged
448,2024-07-14,51,Services,divorced,secondary,Middle Aged
449,2024-07-14,31,Technician,married,secondary,Young Adult
450,2024-07-14,39,Technician,married,tertiary,Young Adult
451,2024-07-15,59,Management,married,tertiary,Middle Aged
452,2024-07-15,25,Services,single,secondary,Young Adult
453,2024-07-15,58,Management,married,tertiary,Middle Aged
454,2024-07-15,30,Entrepreneur,married,primary,Young Adult
455,2024-07-15,34,Blue-Collar,single,primary,Young Adult
456,2024-07-15,51,Services,divorced,secondary,Middle Aged
457,2024-07-15,60,Retired,married,secondary,Elderly
458,2024-07-15,51,Entrepreneur,married,secondary,Middle Aged
459,2024-07-15,37,Management,divorced,tertiary,Young Adult
460,2024-07-15,30,Blue-Collar,single,primary,Young Adult
461,2024-07-15,46,Entrepreneur,divorced,secondary,Middle Aged
462,2024-07-15,29,Student,single,tertiary,Young Adult
463,2024-07-15,27,Entrepreneur,married,tertiary,Young Adult
464,2024-07-16,28,Management,single,tertiary,Young Adult
465,2024-07-16,34,Blue-Collar,single,secondary,Young Adult
466,2024-07-16,29,Blue-Collar,single,unknown,Young Adult
467,2024-07-16,27,Management,single,tertiary,Young Adult
468,2024-07-16,26,Technician,single,secondary,Young Adult
469,2024-07-16,36,Management,married,tertiary,Young Adult
470,2024-07-16,44,Blue-Collar,married,primary,Middle Aged
471,2024-07-16,39,Blue-Collar,married,tertiary,Young Adult
472,2024-07-16,30,Technician,married,secondary,Young Adult
473,2024-07-16,31,Unemployed,divorced,tertiary,Young Adult
474,2024-07-16,56,Blue-Collar,married,primary,Middle Aged
475,2024-07-16,29,Blue-Collar,married,secondary,Young Adult
476,2024-07-16,43,Blue-Collar,married,secondary,Middle Aged
477,2024-07-16,32,Blue-Collar,married,secondary,Young Adult
478,2024-07-16,30,Admin,single,secondary,Young Adult
