customer_id,contact_date,credit_on_default,annual_balance,housing_loan,personal_loan
54,2024-05-14,no,2823,yes,no
55,2024-05-14,no,1405,yes,no
56,2024-05-14,no,1535,yes,no
57,2024-05-14,no,1596,yes,no
58,2024-05-14,no,1542,yes,no
59,2024-05-14,no,3652,yes,no
60,2024-05-14,no,-1,no,no
61,2024-05-14,no,7180,yes,no
62,2024-05-14,no,5291,yes,no
63,2024-05-15,no,1384,yes,no
64,2024-05-15,no,-191,yes,no
65,2024-05-15,no,320,yes,no
66,2024-05-15,no,146,yes,no
67,2024-05-15,no,341,yes,yes
68,2024-05-15,no,-9,yes,no
69,2024-05-15,no,-306,yes,no
70,2024-05-15,no,4580,yes,no
71,2024-05-15,no,313,yes,no
72,2024-05-15,no,10576,no,no
73,2024-05-15,no,-233,yes,no
74,2024-05-15,no,2453,yes,no
75,2024-05-15,no,1364,yes,no
76,2024-05-16,no,281,yes,no
77,2024-05-16,no,94,yes,yes
78,2024-05-16,no,144,yes,no
79,2024-05-16,no,246,yes,no
80,2024-05-16,no,92,yes,no
81,2024-05-16,no,163,yes,yes
82,2024-05-16,no,49,yes,no
83,2024-05-16,no,-416,yes,no
84,2024-05-16,no,409,yes,no
85,2024-05-16,no,363,yes,no
86,2024-05-16,no,3706,yes,no
87,2024-05-16,no,4393,yes,no
88,2024-05-16,no,863,yes,no
89,2024-05-16,no,695,yes,yes
90,2024-05-16,no,792,yes,no
91,2024-05-19,no,1020,yes,no
92,2024-05-19,no,863,yes,no
93,2024-05-19,no,97,yes,no
94,2024-05-19,no,754,yes,no
95,2024-05-19,no,1040,yes,no
96,2024-05-19,no,122,yes,no
97,2024-05-19,no,880,yes,yes
98,2024-05-19,no,501,yes,no
99,2024-05-20,no,4438,yes,no
100,2024-05-20,no,0,yes,no
101,2024-05-20,no,271,yes,no
102,2024-05-20,no,102,yes,no
103,2024-05-20,no,2,yes,no
104,2024-05-20,no,4170,yes,no
105,2024-05-20,no,85,yes,no
106,2024-05-20,no,431,yes,yes
107,2024-05-20,no,982,yes,no
108,2024-05-20,no,408,yes,yes
109,2024-05-20,no,4822,yes,no
110,2024-05-20,no,1250,yes,no
111,2024-05-21,no,216,yes,no
112,2024-05-21,no,1207,yes,no
113,2024-05-21,no,791,yes,no
114,2024-05-21,no,849,yes,yes
115,2024-05-21,yes,239,yes,no
116,2024-05-21,no,1211,yes,no
117,2024-05-21,no,599,yes,no
118,2024-05-21,no,825,yes,no
119,2024-05-21,no,2183,yes,yes
120,2024-05-21,no,4499,no,no
121,2024-05-21,no,1289,yes,no
122,2024-05-21,no,4665,yes,no
123,2024-05-21,no,3326,yes,no
124,2024-05-21,no,783,yes,no
125,2024-05-21,no,0,yes,no
126,2024-05-23,no,994,yes,no
127,2024-05-23,no,1354,yes,no
128,2024-05-23,no,239,yes,no
129,2024-05-23,no,-311,yes,no
130,2024-05-23,no,149,yes,no
131,2024-05-23,no,1464,yes,no
132,2024-05-23,no,5773,no,no
133,2024-05-23,no,278,yes,no
134,2024-05-23,no,2910,yes,no
135,2024-05-26,no,541,yes,no
136,2024-05-26,no,1262,yes,no
137,2024-05-26,no,-538,yes,no
138,2024-05-26,no,125,no,no
139,2024-05-26,no,0,yes,no
140,2024-05-26,no,620,yes,no
141,2024-05-26,no,316,yes,no
142,2024-05-26,no,2287,yes,no
143,2024-05-26,no,198,yes,no
144,2024-05-26,no,460,yes,no
145,2024-05-26,no,1145,yes,no
146,2024-05-26,no,-22,yes,no
147,2024-05-26,no,685,yes,no
148,2024-05-26,no,901,yes,no
149,2024-05-27,no,351,yes,no
150,2024-05-27,no,0,yes,yes
151,2024-05-27,no,274,yes,no
152,2024-05-27,no,-213,yes,yes
153,2024-05-27,no,97,yes,no
154,2024-05-27,no,51,yes,yes
155,2024-05-28,no,314,no,no
156,2024-05-28,no,6840,yes,no
157,2024-05-28,no,668,yes,no
158,2024-05-28,no,54,yes,no
159,2024-05-28,no,1242,yes,no
160,2024-05-28,no,292,yes,no
161,2024-05-28,no,665,yes,no
162,2024-05-28,no,1058,yes,no
163,2024-05-28,no,949,yes,no
164,2024-05-28,no,606,yes,no
165,2024-05-29,no,0,yes,yes
166,2024-05-29,no,404,yes,no
167,2024-05-29,no,249,yes,no
168,2024-05-29,no,3354,yes,no
169,2024-05-29,no,0,yes,no
170,2024-05-29,no,589,yes,no
171,2024-05-29,no,12956,yes,no
172,2024-05-29,no,873,yes,no
173,2024-05-29,no,594,yes,no
174,2024-05-29,no,-20,yes,no
175,2024-05-29,no,4692,yes,no
176,2024-05-29,no,486,yes,no
177,2024-05-29,no,1593,yes,no
178,2024-05-30,no,7606,yes,no
179,2024-05-30,no,226,yes,no
180,2024-05-30,no,366,yes,yes
181,2024-05-30,no,16,yes,no
182,2024-05-30,no,565,yes,no
183,2024-05-30,no,19,yes,no
184,2024-05-30,no,1082,yes,no
185,2024-05-30,no,1713,yes,no
186,2024-05-30,no,14481,yes,no
187,2024-05-30,no,5724,yes,no
188,2024-05-30,no,1451,yes,no
189,2024-05-30,no,-34,yes,no
190,2024-05-30,no,3674,yes,no
191,2024-05-30,no,698,yes,yes
192,2024-05-30,no,4136,yes,no
193,2024-05-30,no,2656,yes,no
194,2024-05-30,no,2904,yes,no
195,2024-05-30,no,1004,yes,no
196,2024-05-30,no,410,yes,no
197,2024-05-30,no,0,yes,no
198,2024-05-30,no,0,yes,no
199,2024-05-30,no,62,yes,no
200,2024-05-30,no,416,yes,no
201,2024-06-02,no,2763,yes,no
202,2024-06-02,no,2984,yes,no
203,2024-06-02,no,143,yes,yes
204,2024-06-02,no,0,yes,no
205,2024-06-02,no,696,yes,no
206,2024-06-02,no,152,yes,no
207,2024-06-02,no,-78,yes,no
208,2024-06-02,no,867,yes,no
209,2024-06-02,no,953,yes,no
210,2024-06-02,no,443,yes,no
211,2024-06-02,yes,-1129,yes,no
212,2024-06-02,no,415,yes,no
213,2024-06-02,no,260,yes,no
214,2024-06-02,yes,-411,yes,no
215,2024-06-03,no,1279,yes,no
216,2024-06-03,no,86,yes,yes
217,2024-06-03,yes,-754,yes,yes
218,2024-06-03,no,0,no,no
219,2024-06-03,no,178,yes,no
220,2024-06-03,no,278,yes,no
221,2024-06-03,no,425,yes,no
222,2024-06-03,no,168,yes,no
223,2024-06-03,yes,-36,yes,no
224,2024-06-03,no,126,yes,no
225,2024-06-03,no,-87,yes,no
226,2024-06-03,no,6281,yes,no
227,2024-06-04,no,644,yes,no
228,2024-06-04,no,377,yes,no
229,2024-06-04,no,-271,yes,no
230,2024-06-04,no,5839,yes,no
231,2024-06-04,no,492,yes,no
232,2024-06-04,no,99,yes,no
233,2024-06-04,yes,-713,yes,no
234,2024-06-04,no,32,yes,no
235,2024-06-04,no,543,yes,yes
236,2024-06-04,no,403,yes,no
237,2024-06-04,no,437,yes,no
238,2024-06-05,no,1772,no,no
239,2024-06-05,no,-88,yes,no
240,2024-06-05,no,0,no,no
241,2024-06-05,no,853,no,no
242,2024-06-05,no,240,no,no
243,2024-06-05,no,849,yes,no
244,2024-06-05,no,318,yes,no
245,2024-06-05,no,703,yes,no
246,2024-06-05,no,61,no,no
247,2024-06-05,no,104,no,yes
248,2024-06-05,no,1996,no,no
249,2024-06-05,yes,1238,no,no
250,2024-06-05,no,879,no,no
251,2024-06-05,no,425,yes,no
252,2024-06-05,no,416,yes,no
253,2024-06-05,no,844,no,no
254,2024-06-05,no,860,yes,no
255,2024-06-06,no,639,yes,no
256,2024-06-06,no,710,yes,yes
257,2024-06-06,no,1508,no,yes
258,2024-06-06,no,223,yes,no
259,2024-06-06,no,619,yes,no
260,2024-06-06,no,319,yes,no
261,2024-06-06,no,480,no,no
262,2024-06-06,no,213,yes,no
263,2024-06-06,no,68,no,no
264,2024-06-06,no,2788,yes,no
265,2024-06-06,no,7561,no,no
266,2024-06-09,no,-46,yes,no
267,2024-06-09,no,1595,no,no
268,2024-06-09,no,1046,no,no
269,2024-06-09,no,1382,no,no
270,2024-06-09,no,217,yes,no
271,2024-06-09,no,183,no,no
272,2024-06-09,no,1321,no,no
273,2024-06-09,no,25,no,no
274,2024-06-09,no,4844,no,no
275,2024-06-11,no,5345,no,no
276,2024-06-11,no,812,no,yes
277,2024-06-11,no,105,no,no
278,2024-06-11,no,-190,no,yes
279,2024-06-11,no,625,no,yes
280,2024-06-11,no,293,no,no
281,2024-06-11,no,1033,no,no
282,2024-06-11,no,1210,no,no
283,2024-06-11,no,64,no,no
284,2024-06-11,no,164,no,no
285,2024-06-11,no,1766,no,no
286,2024-06-11,no,1248,no,no
287,2024-06-12,no,0,no,no
288,2024-06-12,no,826,no,no
289,2024-06-12,no,2630,no,no
290,2024-06-12,no,3727,no,no
291,2024-06-12,no,406,yes,no
292,2024-06-12,no,2999,no,no
293,2024-06-12,no,1000,yes,no
294,2024-06-12,no,503,no,yes
295,2024-06-12,yes,-203,yes,no
296,2024-06-16,no,361,yes,no
297,2024-06-16,no,274,yes,no
298,2024-06-16,no,3687,yes,yes
299,2024-06-16,no,323,no,no
300,2024-06-16,no,981,no,no
301,2024-06-16,no,638,yes,no
302,2024-06-16,no,3229,no,no
303,2024-06-16,no,1610,yes,no
304,2024-06-16,no,33,no,yes
305,2024-06-16,no,536,yes,no
306,2024-06-16,no,0,no,no
307,2024-06-16,no,3057,no,no
308,2024-06-17,no,2892,no,no
309,2024-06-17,no,0,no,no
310,2024-06-17,no,3316,no,no
311,2024-06-17,no,106,no,no
312,2024-06-17,no,2303,yes,no
313,2024-06-17,no,3301,no,no
314,2024-06-18,no,426,no,no
315,2024-06-18,no,9,no,no
316,2024-06-18,no,-97,yes,no
317,2024-06-18,no,11008,no,no
318,2024-06-18,no,4930,no,no
319,2024-06-18,no,707,no,no
320,2024-06-18,no,4,yes,yes
321,2024-06-18,no,126,no,no
322,2024-06-18,no,671,yes,no
323,2024-06-18,no,219,no,yes
324,2024-06-19,no,3622,no,no
325,2024-06-19,no,1580,no,yes
326,2024-06-19,no,1319,no,no
327,2024-06-19,no,2152,no,no
328,2024-06-19,no,2843,yes,no
329,2024-06-19,yes,0,no,no
330,2024-06-19,no,1115,no,no
331,2024-06-19,no,625,no,no
332,2024-06-19,no,246,no,no
333,2024-06-19,no,61,yes,no
334,2024-06-19,no,-191,yes,no
335,2024-06-20,no,519,no,no
336,2024-06-20,no,522,no,yes
337,2024-06-20,no,-46,yes,no
338,2024-06-20,no,2269,no,no
339,2024-06-20,no,386,no,yes
340,2024-06-20,no,0,no,yes
341,2024-06-20,no,9103,no,yes
342,2024-06-20,no,908,yes,no
343,2024-06-20,no,1694,no,yes
344,2024-06-20,no,-92,yes,yes
345,2024-06-20,no,188,yes,yes
346,2024-06-20,no,0,no,no
347,2024-06-20,no,740,yes,no
348,2024-06-20,no,655,no,no
349,2024-06-20,no,867,yes,no
350,2024-06-20,no,1009,yes,yes
351,2024-06-20,no,6360,no,no
352,2024-06-20,no,4145,no,no
353,2024-06-23,yes,-27,no,no
354,2024-06-23,no,-122,yes,no
355,2024-06-23,no,149,yes,no
356,2024-06-24,no,52,yes,no
357,2024-06-26,no,335,yes,no
358,2024-06-26,no,526,yes,yes
359,2024-06-26,no,-7,no,yes
360,2024-06-27,no,-413,no,yes
361,2024-06-27,no,-241,no,yes
362,2024-07-01,no,75,yes,no
363,2024-07-01,no,0,no,no
364,2024-07-01,no,158,no,no
365,2024-07-03,no,84,no,yes
366,2024-07-03,no,114,no,yes
367,2024-07-04,no,0,no,no
368,2024-07-04,no,-127,yes,no
369,2024-07-07,no,49,yes,no
370,2024-07-07,no,216,no,no
371,2024-07-07,no,506,yes,no
372,2024-07-07,no,213,yes,no
373,2024-07-07,no,170,no,no
374,2024-07-07,no,776,no,yes
375,2024-07-07,no,879,no,no
376,2024-07-07,no,1633,no,no
377,2024-07-07,no,926,no,no
378,2024-07-07,no,2559,no,no
379,2024-07-07,no,909,no,yes
380,2024-07-07,no,-176,no,yes
381,2024-07-07,yes,1085,yes,yes
382,2024-07-07,no,1265,no,yes
383,2024-07-07,no,-239,yes,yes
384,2024-07-07,no,726,no,no
385,2024-07-08,no,296,no,yes
386,2024-07-08,no,-627,yes,yes
387,2024-07-08,yes,-468,no,no
388,2024-07-08,no,551,no,no
389,2024-07-08,no,0,no,yes
390,2024-07-08,no,101,no,yes
391,2024-07-08,no,517,no,yes
392,2024-07-08,no,37,no,yes
393,2024-07-08,no,854,no,yes
394,2024-07-08,no,30,no,yes
395,2024-07-08,yes,81,no,yes
396,2024-07-08,no,0,no,no
397,2024-07-08,no,663,no,yes
398,2024-07-08,no,102,no,yes
399,2024-07-08,no,370,no,yes
400,2024-07-08,no,189,no,yes
401,2024-07-09,no,111,no,no
402,2024-07-09,no,665,yes,no
403,2024-07-09,no,214,yes,no
404,2024-07-09,no,0,no,no
405,2024-07-09,no,1583,yes,no
406,2024-07-09,no,0,no,yes
407,2024-07-09,yes,0,no,yes
408,2024-07-09,no,687,yes,no
409,2024-07-09,yes,327,yes,yes
410,2024-07-09,no,-119,no,yes
411,2024-07-09,no,794,yes,yes
412,2024-07-09,no,-191,yes,yes
413,2024-07-09,no,409,no,yes
414,2024-07-09,no,3,no,yes
415,2024-07-09,no,9,no,yes
416,2024-07-09,no,155,yes,yes
417,2024-07-10,no,1330,no,no
418,2024-07-10,no,-29,yes,no
419,2024-07-10,no,3133,yes,yes
420,2024-07-10,no,-33,yes,yes
421,2024-07-10,no,-170,no,yes
422,2024-07-10,no,1243,no,yes
423,2024-07-10,no,1598,yes,no
424,2024-07-10,no,5,no,yes
425,2024-07-10,no,367,yes,no
426,2024-07-10,no,658,no,no
427,2024-07-10,no,1722,yes,no
428,2024-07-10,no,-315,no,yes
429,2024-07-10,no,2483,no,no
430,2024-07-10,no,0,yes,yes
431,2024-07-10,no,45,no,no
432,2024-07-10,no,46,yes,no
433,2024-07-10,no,482,no,yes
434,2024-07-11,no,3728,yes,no
435,2024-07-11,no,1099,no,no
436,2024-07-11,no,2222,yes,no
437,2024-07-11,no,983,yes,no
438,2024-07-11,no,204,yes,no
439,2024-07-11,no,1074,yes,no
440,2024-07-11,no,3466,yes,no
441,2024-07-11,no,-203,yes,no
442,2024-07-14,no,2436,no,yes
443,2024-07-14,no,976,yes,no
444,2024-07-14,no,146,yes,no
445,2024-07-14,no,156,no,yes
446,2024-07-14,no,189,yes,no
447,2024-07-14,no,163,yes,no
448,2024-07-14,no,242,no,yes
449,2024-07-14,no,1173,yes,no
450,2024-07-14,no,0,yes,no
451,2024-07-15,no,296,no,yes
452,2024-07-15,no,333,no,yes
453,2024-07-15,no,3864,yes,no
454,2024-07-15,no,2686,yes,no
455,2024-07-15,no,-109,yes,no
456,2024-07-15,no,65,no,yes
457,2024-07-15,no,597,no,no
458,2024-07-15,no,-799,no,yes
459,2024-07-15,no,1775,no,no
460,2024-07-15,no,0,no,no
461,2024-07-15,no,-563,no,yes
462,2024-07-15,no,5,no,no
463,2024-07-15,no,139,no,no
464,2024-07-16,no,0,yes,no
465,2024-07-16,no,855,yes,no
466,2024-07-16,no,694,yes,yes
467,2024-07-16,no,151,yes,no
468,2024-07-16,no,354,no,no
469,2024-07-16,no,673,yes,no
470,2024-07-16,no,1265,yes,no
471,2024-07-16,no,597,no,no
472,2024-07-16,no,-393,yes,yes
473,2024-07-16,no,256,yes,no
474,2024-07-16,no,0,yes,no
475,2024-07-16,no,2870,yes,no
476,2024-07-16,no,184,no,yes
477,2024-07-16,no,1905,yes,no
478,2024-07-16,no,-36,no,no
479,2024-07-16,no,-839,yes,yes
480,2024-07-16,no,3465,yes,yes
481,2024-07-16,no,119,yes,no
482,2024-07-16,no,36,no,yes
483,2024-07-17,no,113,yes,no
484,2024-07-17,no,118,yes,no
485,2024-07-17,no,251,yes,no
486,2024-07-17,no,-277,yes,no
487,2024-07-17,no,-189,no,yes
488,2024-07-17,no,4,yes,no
489,2024-07-17,no,1820,yes,no
490,2024-07-17,no,1904,yes,no
491,2024-07-17,no,201,yes,no
492,2024-07-17,no,0,yes,no
493,2024-07-17,no,178,no,no
494,2024-07-17,no,3798,yes,no
495,2024-07-17,no,301,yes,no
496,2024-07-17,no,294,yes,no
497,2024-07-17,no,0,yes,no
498,2024-07-17,no,292,no,yes
499,2024-07-18,no,2998,yes,no
500,2024-07-18,no,2084,yes,no
501,2024-07-18,no,454,yes,no
502,2024-07-18,no,179,no,no
503,2024-07-18,no,661,yes,no
504,2024-07-18,no,89,yes,no
505,2024-07-18,no,102,yes,no
506,2024-07-18,no,138,yes,no
507,2024-07-18,no,622,no,no
508,2024-07-18,no,10,yes,no
509,2024-07-18,no,-251,no,no
510,2024-07-18,no,104,yes,no
511,2024-07-18,no,173,no,no
512,2024-07-18,no,-46,no,yes
513,2024-07-18,no,0,yes,yes
514,2024-07-18,no,145,yes,no
515,2024-07-18,no,325,yes,no
516,2024-07-21,no,2311,no,yes
517,2024-07-21,no,158,no,yes
518,2024-07-21,no,1981,yes,no
519,2024-07-21,no,1423,yes,no
520,2024-07-21,no,2455,yes,no
521,2024-07-21,no,859,no,yes
522,2024-07-21,no,9004,no,no
523,2024-07-21,no,970,yes,no
524,2024-07-21,no,486,no,yes
525,2024-07-21,no,127,yes,no
526,2024-07-21,no,409,yes,no
527,2024-07-21,no,664,no,no
528,2024-07-21,no,223,no,yes
529,2024-07-21,no,-324,no,yes
530,2024-07-21,no,-30,no,no
531,2024-07-21,no,1253,no,no
532,2024-07-22,no,4758,yes,no
533,2024-07-22,no,30,yes,no
534,2024-07-22,no,81,no,yes
535,2024-07-22,no,0,yes,no
536,2024-07-22,no,328,yes,no
537,2024-07-22,no,145,no,no
538,2024-07-22,no,465,yes,no
539,2024-07-22,no,751,yes,no
540,2024-07-22,no,-379,yes,yes
541,2024-07-22,no,0,no,no
542,2024-07-22,no,349,yes,no
543,2024-07-22,no,1110,yes,no
544,2024-07-23,no,2228,yes,no
545,2024-07-23,no,2166,yes,no
546,2024-07-23,no,-247,yes,no
547,2024-07-23,no,-123,no,yes
548,2024-07-23,no,44,no,yes
549,2024-07-23,no,131,yes,yes
550,2024-07-23,no,476,yes,no
551,2024-07-23,no,1101,yes,no
552,2024-07-23,no,-168,yes,no
553,2024-07-23,no,-392,yes,no
554,2024-07-23,no,524,yes,no
555,2024-07-23,no,895,no,no
556,2024-07-23,no,212,yes,yes
557,2024-07-23,no,95,yes,no
558,2024-07-23,no,395,yes,no
559,2024-07-23,no,135,yes,yes
560,2024-07-23,no,0,no,no
561,2024-07-24,no,471,yes,no
562,2024-07-24,no,603,yes,no
563,2024-07-24,no,663,no,no
564,2024-07-24,no,593,yes,yes
565,2024-07-24,no,1224,yes,yes
566,2024-07-24,no,2,yes,no
567,2024-07-24,yes,720,no,yes
568,2024-07-24,no,990,yes,no
569,2024-07-24,no,1747,yes,no
570,2024-07-24,no,59,yes,no
571,2024-07-24,no,33,yes,no
572,2024-07-24,no,340,yes,no
573,2024-07-24,no,305,no,no
574,2024-07-24,no,0,yes,no
575,2024-07-24,no,497,yes,no
576,2024-07-25,no,1371,no,no
577,2024-07-25,no,1628,yes,no
578,2024-07-25,no,372,yes,yes
579,2024-07-25,no,566,yes,no
580,2024-07-25,no,343,yes,no
581,2024-07-25,no,941,no,yes
582,2024-07-25,no,775,no,yes
583,2024-07-25,no,1759,no,yes
584,2024-07-25,no,1495,no,no
585,2024-07-25,no,1444,no,no
586,2024-07-25,no,470,yes,no
587,2024-07-25,no,1162,yes,no
588,2024-07-25,no,2,yes,yes
589,2024-07-25,no,1628,yes,no
590,2024-07-25,no,1134,yes,no
591,2024-07-25,no,0,yes,yes
592,2024-07-25,no,63,no,yes
593,2024-07-25,no,1221,yes,no
594,2024-07-25,no,5024,no,yes
595,2024-07-25,no,10685,yes,no
596,2024-07-25,no,1629,no,no
597,2024-07-28,no,268,yes,no
598,2024-07-28,no,0,yes,yes
599,2024-07-28,no,5613,yes,no
600,2024-07-28,no,513,no,yes
601,2024-07-28,no,362,no,no
602,2024-07-28,no,3933,no,no
603,2024-07-28,no,3899,yes,no
604,2024-07-28,no,473,yes,no
605,2024-07-28,no,1616,no,no
606,2024-07-28,no,1817,yes,no
607,2024-07-28,no,129,no,yes
608,2024-07-28,no,1938,no,yes
609,2024-07-28,no,133,no,no
610,2024-07-29,no,2263,no,no
611,2024-07-29,no,1538,no,no
612,2024-07-29,no,5,no,no
613,2024-07-29,no,2625,no,no
614,2024-07-29,no,1080,yes,no
615,2024-07-29,no,312,no,no
616,2024-07-29,no,145,yes,no
617,2024-07-29,no,-190,no,yes
618,2024-07-30,no,2678,no,no
619,2024-07-30,no,271,yes,no
620,2024-07-30,no,0,no,no
621,2024-07-30,no,0,no,no
622,2024-07-30,no,3161,no,no
623,2024-07-30,yes,-4,no,yes
624,2024-07-30,yes,-701,yes,no
625,2024-07-30,no,-375,no,no
626,2024-07-30,no,959,no,no
627,2024-07-30,no,1091,no,no
628,2024-07-30,yes,-1,no,yes
629,2024-07-30,no,96,no,no
630,2024-07-30,no,0,no,no
631,2024-07-30,no,230,no,no
632,2024-07-30,no,-156,no,yes
633,2024-07-30,no,114,no,no
634,2024-07-30,no,-468,yes,no
635,2024-07-30,no,679,no,no
636,2024-07-30,no,206,yes,no
637,2024-07-30,no,1,yes,no
638,2024-07-30,no,2518,no,no
639,2024-07-30,no,378,no,no
640,2024-07-30,no,391,no,yes
641,2024-07-30,no,-144,no,no
642,2024-07-31,no,1240,no,no
643,2024-07-31,no,1792,yes,no
644,2024-07-31,no,2284,yes,no
645,2024-07-31,no,264,yes,yes
646,2024-07-31,no,0,no,no
647,2024-07-31,yes,-392,no,no
648,2024-07-31,no,77,no,no
649,2024-07-31,no,48,yes,no
650,2024-07-31,no,252,no,no
651,2024-07-31,no,1954,no,no
652,2024-07-31,no,755,no,yes
653,2024-07-31,no,755,no,no
654,2024-07-31,no,341,no,no
655,2024-07-31,no,1183,no,no
656,2024-07-31,no,388,no,no
657,2024-08-04,no,1919,no,no
658,2024-08-04,no,1613,no,no
659,2024-08-04,no,0,no,no
660,2024-08-04,no,0,no,no
661,2024-08-04,no,0,no,no
662,2024-08-05,no,0,no,no
663,2024-08-05,no,466,no,no
664,2024-08-05,no,515,no,no
665,2024-08-05,no,2313,no,no
666,2024-08-05,no,-8,no,no
667,2024-08-05,no,1634,yes,yes
668,2024-08-05,no,100,no,no
669,2024-08-05,no,5361,no,no
670,2024-08-05,no,1257,no,no
671,2024-08-05,no,3400,yes,no
672,2024-08-05,no,1377,no,no
673,2024-08-05,no,2885,no,no
674,2024-08-05,no,512,no,no
675,2024-08-05,no,921,no,no
676,2024-08-05,no,1000,no,no
677,2024-08-05,no,202,no,no
678,2024-08-05,no,169,no,yes
679,2024-08-05,no,3726,no,no
680,2024-08-05,no,146,yes,no
681,2024-08-05,no,940,no,no
682,2024-08-06,no,734,no,no
683,2024-08-06,no,77,no,no
684,2024-08-06,no,925,no,no
685,2024-08-06,no,1836,no,no
686,2024-08-06,no,660,no,no
687,2024-08-06,no,1304,no,no
688,2024-08-06,no,2956,no,no
689,2024-08-06,no,146,no,no
690,2024-08-06,yes,36,no,no
691,2024-08-06,no,1,no,no
692,2024-08-06,no,2480,no,no
693,2024-08-06,no,14282,yes,no
694,2024-08-06,no,0,no,no
695,2024-08-06,no,311,no,no
696,2024-08-06,no,560,no,no
697,2024-08-06,no,3059,no,yes
698,2024-08-06,no,1423,no,no
699,2024-08-06,no,874,no,no
700,2024-08-06,no,706,yes,no
701,2024-08-06,no,7098,no,no
702,2024-08-06,no,5389,no,no
703,2024-08-07,no,1104,no,no
704,2024-08-07,no,3070,no,no
705,2024-08-07,no,0,no,no
706,2024-08-07,no,4108,yes,no
707,2024-08-07,no,0,no,no
708,2024-08-07,no,4291,no,no
709,2024-08-07,no,6822,no,no
710,2024-08-07,no,231,no,no
711,2024-08-07,no,3176,no,no
712,2024-08-07,no,-824,yes,no
713,2024-08-07,no,676,no,no
714,2024-08-07,no,651,no,no
715,2024-08-07,no,2657,no,no
716,2024-08-07,no,801,no,no
717,2024-08-08,no,405,no,yes
718,2024-08-08,no,82,no,no
719,2024-08-08,no,179,no,no
720,2024-08-08,no,1047,no,no
721,2024-08-08,no,7138,no,no
722,2024-08-08,no,165,no,yes
723,2024-08-08,no,37,no,no
724,2024-08-08,no,823,no,no
725,2024-08-08,no,1625,no,no
726,2024-08-08,no,120,no,no
727,2024-08-08,no,2957,yes,yes
728,2024-08-08,no,2,no,no
729,2024-08-08,no,1,no,no
730,2024-08-08,no,1795,no,no
731,2024-08-08,no,4,no,no
732,2024-08-11,no,476,no,no
733,2024-08-11,no,9,no,no
734,2024-08-11,no,131,yes,no
735,2024-08-11,no,1120,no,no
736,2024-08-11,no,2785,no,no
737,2024-08-11,no,0,no,no
738,2024-08-11,no,43,no,no
739,2024-08-11,no,0,no,no
740,2024-08-11,no,456,yes,no
741,2024-08-11,no,2018,no,no
742,2024-08-11,no,0,no,no
743,2024-08-11,no,354,no,no
744,2024-08-11,no,719,no,yes
745,2024-08-11,no,828,no,yes
746,2024-08-11,no,2787,no,no
747,2024-08-12,no,2551,no,no
748,2024-08-12,no,2722,no,no
749,2024-08-12,no,1880,no,no
750,2024-08-12,no,2112,no,no
751,2024-08-12,no,871,no,no
752,2024-08-12,no,850,no,no
753,2024-08-12,no,3243,no,no
754,2024-08-12,no,1567,yes,no
755,2024-08-12,yes,12,no,no
756,2024-08-12,no,128,no,no
757,2024-08-12,no,553,no,no
758,2024-08-12,no,1694,no,no
759,2024-08-12,no,408,no,no
760,2024-08-12,no,1223,no,no
761,2024-08-12,no,1858,no,no
762,2024-08-12,no,520,yes,no
763,2024-08-12,no,271,yes,no
764,2024-08-12,no,4396,no,no
765,2024-08-12,no,568,yes,no
