age,job,marital,education,credit_on_default,annual_balance,housing_loan,personal_loan,contact_type,contact_day,contact_month,contact_duration,campaign_contacts,days_last_contacted,previous_contacts,poutcome,age_group,customer_id,sale,deposit
35,Blue-Collar,single,secondary,no,40,yes,no,unknown,9,May,617,4,-1,0,unknown,Young Adult,26,1,yes
31,Technician,single,tertiary,no,22,yes,no,unknown,9,May,483,3,-1,0,unknown,Young Adult,27,1,yes
43,Blue-Collar,single,secondary,no,3,yes,no,unknown,9,May,929,3,-1,0,unknown,Middle Aged,28,1,yes
31,Admin,married,secondary,no,307,yes,no,unknown,9,May,538,1,-1,0,unknown,Young Adult,29,1,yes
28,Blue-Collar,single,secondary,no,759,yes,no,unknown,9,May,710,1,-1,0,unknown,Young Adult,30,1,yes
32,Blue-Collar,married,secondary,yes,-1,yes,no,unknown,9,May,653,1,-1,0,unknown,Young Adult,31,1,yes
60,Technician,married,primary,no,65,yes,no,unknown,9,May,1028,2,-1,0,unknown,Elderly,32,1,yes
26,Blue-Collar,single,secondary,no,82,yes,no,unknown,9,May,654,1,-1,0,unknown,Young Adult,33,1,yes
40,Blue-Collar,married,secondary,no,10,yes,no,unknown,9,May,1692,2,-1,0,unknown,Middle Aged,34,1,yes
33,Blue-Collar,divorced,primary,no,390,yes,no,unknown,9,May,665,2,-1,0,unknown,Young Adult,35,1,yes
32,Management,single,tertiary,no,311,no,no,unknown,12,May,757,2,-1,0,unknown,Young Adult,36,1,yes
35,Blue-Collar,married,primary,no,414,no,no,unknown,13,May,504,4,-1,0,unknown,Young Adult,37,1,yes
33,Management,divorced,secondary,no,5,yes,no,unknown,13,May,1346,1,-1,0,unknown,Young Adult,38,1,yes
38,Management,married,tertiary,no,119,yes,no,unknown,13,May,568,4,-1,0,unknown,Young Adult,39,1,yes
23,Entrepreneur,single,primary,no,4,yes,no,unknown,13,May,395,2,-1,0,unknown,Young Adult,40,1,yes
60,Blue-Collar,married,primary,no,1262,yes,yes,unknown,13,May,1015,1,-1,0,unknown,Elderly,41,1,yes
48,Management,married,tertiary,no,1949,yes,no,unknown,13,May,683,2,-1,0,unknown,Middle Aged,42,1,yes
45,Entrepreneur,divorced,tertiary,no,-395,yes,no,unknown,13,May,470,1,-1,0,unknown,Middle Aged,43,1,yes
36,Blue-Collar,married,secondary,no,1165,yes,no,unknown,13,May,1001,4,-1,0,unknown,Young Adult,44,1,yes
52,Management,married,unknown,no,2240,yes,no,unknown,13,May,845,1,-1,0,unknown,Middle Aged,45,1,yes
35,Blue-Collar,divorced,primary,no,300,yes,no,unknown,13,May,945,2,-1,0,unknown,Young Adult,46,1,yes
43,Technician,married,secondary,no,3285,yes,no,unknown,13,May,1721,2,-1,0,unknown,Middle Aged,47,1,yes
52,Housemaid,married,secondary,no,3923,yes,no,unknown,14,May,942,3,-1,0,unknown,Middle Aged,48,1,yes
53,Technician,divorced,primary,no,1443,yes,no,unknown,14,May,476,1,-1,0,unknown,Middle Aged,49,1,yes
48,Blue-Collar,divorced,primary,no,24,yes,no,unknown,14,May,832,1,-1,0,unknown,Middle Aged,50,1,yes
41,Blue-Collar,single,primary,no,1618,yes,no,unknown,14,May,1553,1,-1,0,unknown,Middle Aged,51,1,yes
39,Management,divorced,tertiary,no,517,yes,yes,unknown,14,May,1328,1,-1,0,unknown,Young Adult,52,1,yes
59,Retired,married,secondary,no,1521,yes,yes,unknown,14,May,1125,2,-1,0,unknown,Middle Aged,53,1,yes
41,Blue-Collar,married,secondary,no,2823,yes,no,unknown,14,May,858,1,-1,0,unknown,Middle Aged,54,1,yes
48,Blue-Collar,married,secondary,no,1405,yes,no,unknown,14,May,629,2,-1,0,unknown,Middle Aged,55,1,yes
40,Admin,married,secondary,no,1535,yes,no,unknown,14,May,704,1,-1,0,unknown,Middle Aged,56,1,yes
48,Blue-Collar,married,secondary,no,1596,yes,no,unknown,14,May,760,1,-1,0,unknown,Middle Aged,57,1,yes
60,Retired,married,primary,no,1542,yes,no,unknown,14,May,930,1,-1,0,unknown,Elderly,58,1,yes
40,Technician,single,unknown,no,3652,yes,no,unknown,14,May,1028,2,-1,0,unknown,Middle Aged,59,1,yes
57,Technician,married,tertiary,no,-1,no,no,unknown,14,May,850,2,-1,0,unknown,Middle Aged,60,1,yes
51,Blue-Collar,married,secondary,no,7180,yes,no,unknown,14,May,927,1,-1,0,unknown,Middle Aged,61,1,yes
41,Blue-Collar,divorced,secondary,no,5291,yes,no,unknown,14,May,1423,3,-1,0,unknown,Middle Aged,62,1,yes
41,Blue-Collar,married,secondary,no,1384,yes,no,unknown,15,May,1162,4,-1,0,unknown,Middle Aged,63,1,yes
52,Blue-Collar,divorced,primary,no,-191,yes,no,unknown,15,May,755,1,-1,0,unknown,Middle Aged,64,1,yes
59,Blue-Collar,married,primary,no,320,yes,no,unknown,15,May,695,1,-1,0,unknown,Middle Aged,65,1,yes
44,Blue-Collar,married,unknown,no,146,yes,no,unknown,15,May,483,1,-1,0,unknown,Middle Aged,66,1,yes
49,Unknown,married,primary,no,341,yes,yes,unknown,15,May,520,2,-1,0,unknown,Middle Aged,67,1,yes
40,Services,married,primary,no,-9,yes,no,unknown,15,May,920,2,-1,0,unknown,Middle Aged,68,1,yes
41,Admin,married,primary,no,-306,yes,no,unknown,15,May,500,1,-1,0,unknown,Middle Aged,69,1,yes
44,Technician,married,tertiary,no,4580,yes,no,unknown,15,May,911,2,-1,0,unknown,Middle Aged,70,1,yes
60,Services,single,primary,no,313,yes,no,unknown,15,May,920,2,-1,0,unknown,Elderly,71,1,yes
29,Management,married,tertiary,no,10576,no,no,unknown,15,May,1224,2,-1,0,unknown,Young Adult,72,1,yes
41,Retired,divorced,primary,no,-233,yes,no,unknown,15,May,1156,2,-1,0,unknown,Middle Aged,73,1,yes
41,Blue-Collar,married,primary,no,2453,yes,no,unknown,15,May,1052,1,-1,0,unknown,Middle Aged,74,1,yes
42,Technician,single,secondary,no,1364,yes,no,unknown,15,May,1867,6,-1,0,unknown,Middle Aged,75,1,yes
36,Services,single,unknown,no,281,yes,no,unknown,16,May,515,1,-1,0,unknown,Young Adult,76,1,yes
39,Technician,married,tertiary,no,94,yes,yes,unknown,16,May,813,1,-1,0,unknown,Young Adult,77,1,yes
31,Self-Employed,single,tertiary,no,144,yes,no,unknown,16,May,676,1,-1,0,unknown,Young Adult,78,1,yes
26,Blue-Collar,married,secondary,no,246,yes,no,unknown,16,May,1143,3,-1,0,unknown,Young Adult,79,1,yes
31,Blue-Collar,married,secondary,no,92,yes,no,unknown,16,May,688,1,-1,0,unknown,Young Adult,80,1,yes
29,Admin,single,secondary,no,163,yes,yes,unknown,16,May,803,1,-1,0,unknown,Young Adult,81,1,yes
37,Services,divorced,secondary,no,49,yes,no,unknown,16,May,619,2,-1,0,unknown,Young Adult,82,1,yes
33,Blue-Collar,single,secondary,no,-416,yes,no,unknown,16,May,767,2,-1,0,unknown,Young Adult,83,1,yes
24,Technician,single,secondary,no,409,yes,no,unknown,16,May,912,1,-1,0,unknown,Young Adult,84,1,yes
50,Admin,divorced,secondary,no,363,yes,no,unknown,16,May,1340,1,-1,0,unknown,Middle Aged,85,1,yes
27,Technician,single,tertiary,no,3706,yes,no,unknown,16,May,897,1,-1,0,unknown,Young Adult,86,1,yes
54,Management,single,tertiary,no,4393,yes,no,unknown,16,May,1297,3,-1,0,unknown,Middle Aged,87,1,yes
30,Technician,single,secondary,no,863,yes,no,unknown,16,May,1193,5,-1,0,unknown,Young Adult,88,1,yes
34,Blue-Collar,married,primary,no,695,yes,yes,unknown,16,May,1064,4,-1,0,unknown,Young Adult,89,1,yes
37,Management,single,secondary,no,792,yes,no,unknown,16,May,1187,4,-1,0,unknown,Young Adult,90,1,yes
41,Admin,single,secondary,no,1020,yes,no,unknown,19,May,882,1,-1,0,unknown,Middle Aged,91,1,yes
47,Blue-Collar,married,secondary,no,863,yes,no,unknown,19,May,943,2,-1,0,unknown,Middle Aged,92,1,yes
31,Admin,married,secondary,no,97,yes,no,unknown,19,May,607,1,-1,0,unknown,Young Adult,93,1,yes
31,Blue-Collar,married,secondary,no,754,yes,no,unknown,19,May,1022,4,-1,0,unknown,Young Adult,94,1,yes
43,Services,divorced,secondary,no,1040,yes,no,unknown,19,May,552,3,-1,0,unknown,Middle Aged,95,1,yes
37,Management,divorced,tertiary,no,122,yes,no,unknown,19,May,1622,2,-1,0,unknown,Young Adult,96,1,yes
30,Technician,single,tertiary,no,880,yes,yes,unknown,19,May,967,6,-1,0,unknown,Young Adult,97,1,yes
41,Technician,married,secondary,no,501,yes,no,unknown,19,May,579,5,-1,0,unknown,Middle Aged,98,1,yes
36,Blue-Collar,married,secondary,no,4438,yes,no,unknown,20,May,446,1,-1,0,unknown,Young Adult,99,1,yes
35,Blue-Collar,divorced,secondary,no,0,yes,no,unknown,20,May,1205,1,-1,0,unknown,Young Adult,100,1,yes
29,Services,single,secondary,no,271,yes,no,unknown,20,May,1882,2,-1,0,unknown,Young Adult,101,1,yes
35,Blue-Collar,married,primary,no,102,yes,no,unknown,20,May,1334,1,-1,0,unknown,Young Adult,102,1,yes
31,Blue-Collar,married,secondary,no,2,yes,no,unknown,20,May,182,2,-1,0,unknown,Young Adult,103,1,yes
35,Services,married,secondary,no,4170,yes,no,unknown,20,May,1777,1,-1,0,unknown,Young Adult,104,1,yes
34,Technician,single,secondary,no,85,yes,no,unknown,20,May,1182,4,-1,0,unknown,Young Adult,105,1,yes
31,Admin,single,secondary,no,431,yes,yes,unknown,20,May,1045,1,-1,0,unknown,Young Adult,106,1,yes
44,Technician,divorced,secondary,no,982,yes,no,unknown,20,May,650,3,-1,0,unknown,Middle Aged,107,1,yes
36,Blue-Collar,married,primary,no,408,yes,yes,unknown,20,May,1063,2,-1,0,unknown,Young Adult,108,1,yes
35,Blue-Collar,married,unknown,no,4822,yes,no,unknown,20,May,843,2,-1,0,unknown,Young Adult,109,1,yes
41,Blue-Collar,married,primary,no,1250,yes,no,unknown,20,May,1392,2,-1,0,unknown,Middle Aged,110,1,yes
31,Blue-Collar,single,primary,no,216,yes,no,unknown,21,May,565,1,-1,0,unknown,Young Adult,111,1,yes
34,Blue-Collar,married,secondary,no,1207,yes,no,unknown,21,May,905,1,-1,0,unknown,Young Adult,112,1,yes
32,Technician,married,secondary,no,791,yes,no,unknown,21,May,783,2,-1,0,unknown,Young Adult,113,1,yes
36,Management,married,tertiary,no,849,yes,yes,unknown,21,May,958,2,-1,0,unknown,Young Adult,114,1,yes
30,Blue-Collar,single,secondary,yes,239,yes,no,unknown,21,May,412,1,-1,0,unknown,Young Adult,115,1,yes
37,Technician,single,secondary,no,1211,yes,no,unknown,21,May,795,1,-1,0,unknown,Young Adult,116,1,yes
36,Blue-Collar,married,primary,no,599,yes,no,unknown,21,May,649,2,-1,0,unknown,Young Adult,117,1,yes
31,Management,single,tertiary,no,825,yes,no,unknown,21,May,506,2,-1,0,unknown,Young Adult,118,1,yes
27,Technician,married,secondary,no,2183,yes,yes,unknown,21,May,857,1,-1,0,unknown,Young Adult,119,1,yes
34,Retired,married,primary,no,4499,no,no,unknown,21,May,1681,1,-1,0,unknown,Young Adult,120,1,yes
30,Technician,single,tertiary,no,1289,yes,no,unknown,21,May,1697,2,-1,0,unknown,Young Adult,121,1,yes
32,Technician,single,tertiary,no,4665,yes,no,unknown,21,May,860,2,-1,0,unknown,Young Adult,122,1,yes
37,Technician,single,secondary,no,3326,yes,no,unknown,21,May,799,1,-1,0,unknown,Young Adult,123,1,yes
32,Blue-Collar,married,secondary,no,783,yes,no,unknown,21,May,923,3,-1,0,unknown,Young Adult,124,1,yes
33,Blue-Collar,married,secondary,no,0,yes,no,unknown,21,May,521,3,-1,0,unknown,Young Adult,125,1,yes
35,Blue-Collar,married,primary,no,994,yes,no,unknown,23,May,1349,8,-1,0,unknown,Young Adult,126,1,yes
35,Self-Employed,divorced,tertiary,no,1354,yes,no,unknown,23,May,736,2,-1,0,unknown,Young Adult,127,1,yes
30,Blue-Collar,single,secondary,no,239,yes,no,unknown,23,May,785,1,-1,0,unknown,Young Adult,128,1,yes
45,Blue-Collar,divorced,primary,no,-311,yes,no,unknown,23,May,1030,1,-1,0,unknown,Middle Aged,129,1,yes
45,Admin,married,secondary,no,149,yes,no,unknown,23,May,893,3,-1,0,unknown,Middle Aged,130,1,yes
33,Blue-Collar,married,secondary,no,1464,yes,no,unknown,23,May,588,3,-1,0,unknown,Young Adult,131,1,yes
44,Management,divorced,tertiary,no,5773,no,no,unknown,23,May,597,6,-1,0,unknown,Middle Aged,132,1,yes
40,Blue-Collar,married,primary,no,278,yes,no,unknown,23,May,1015,3,-1,0,unknown,Middle Aged,133,1,yes
31,Blue-Collar,married,secondary,no,2910,yes,no,unknown,23,May,1392,2,-1,0,unknown,Young Adult,134,1,yes
30,Technician,married,tertiary,no,541,yes,no,unknown,26,May,414,2,-1,0,unknown,Young Adult,135,1,yes
44,Technician,divorced,secondary,no,1262,yes,no,unknown,26,May,788,11,-1,0,unknown,Middle Aged,136,1,yes
34,Services,married,secondary,no,-538,yes,no,unknown,26,May,682,1,-1,0,unknown,Young Adult,137,1,yes
37,Blue-Collar,married,secondary,no,125,no,no,unknown,26,May,679,2,-1,0,unknown,Young Adult,138,1,yes
28,Self-Employed,single,tertiary,no,0,yes,no,unknown,26,May,1560,2,-1,0,unknown,Young Adult,139,1,yes
32,Admin,single,secondary,no,620,yes,no,unknown,26,May,1234,3,-1,0,unknown,Young Adult,140,1,yes
37,Blue-Collar,divorced,secondary,no,316,yes,no,unknown,26,May,642,2,-1,0,unknown,Young Adult,141,1,yes
34,Management,married,tertiary,no,2287,yes,no,unknown,26,May,895,4,-1,0,unknown,Young Adult,142,1,yes
38,Admin,divorced,secondary,no,198,yes,no,unknown,26,May,431,2,-1,0,unknown,Young Adult,143,1,yes
28,Admin,single,secondary,no,460,yes,no,unknown,26,May,741,6,-1,0,unknown,Young Adult,144,1,yes
31,Management,divorced,tertiary,no,1145,yes,no,unknown,26,May,1272,4,-1,0,unknown,Young Adult,145,1,yes
59,Services,married,secondary,no,-22,yes,no,unknown,26,May,748,3,-1,0,unknown,Middle Aged,146,1,yes
24,Blue-Collar,married,secondary,no,685,yes,no,unknown,26,May,896,3,-1,0,unknown,Young Adult,147,1,yes
26,Services,single,secondary,no,901,yes,no,unknown,26,May,764,2,-1,0,unknown,Young Adult,148,1,yes
59,Retired,single,secondary,no,351,yes,no,unknown,27,May,1063,5,-1,0,unknown,Middle Aged,149,1,yes
30,Entrepreneur,single,primary,no,0,yes,yes,unknown,27,May,1051,1,-1,0,unknown,Young Adult,150,1,yes
37,Admin,married,secondary,no,274,yes,no,unknown,27,May,731,3,-1,0,unknown,Young Adult,151,1,yes
30,Admin,single,secondary,no,-213,yes,yes,unknown,27,May,751,1,-1,0,unknown,Young Adult,152,1,yes
25,Blue-Collar,married,secondary,no,97,yes,no,unknown,27,May,709,1,-1,0,unknown,Young Adult,153,1,yes
44,Services,divorced,secondary,no,51,yes,yes,unknown,27,May,3094,2,-1,0,unknown,Middle Aged,154,1,yes
29,Management,married,tertiary,no,314,no,no,unknown,28,May,938,2,-1,0,unknown,Young Adult,155,1,yes
26,Management,single,tertiary,no,6840,yes,no,unknown,28,May,1560,2,-1,0,unknown,Young Adult,156,1,yes
26,Technician,single,secondary,no,668,yes,no,unknown,28,May,576,3,-1,0,unknown,Young Adult,157,1,yes
27,Services,single,secondary,no,54,yes,no,unknown,28,May,543,2,-1,0,unknown,Young Adult,158,1,yes
25,Self-Employed,single,secondary,no,1242,yes,no,unknown,28,May,615,2,-1,0,unknown,Young Adult,159,1,yes
28,Management,married,secondary,no,292,yes,no,unknown,28,May,507,1,-1,0,unknown,Young Adult,160,1,yes
23,Services,single,secondary,no,665,yes,no,unknown,28,May,1183,1,-1,0,unknown,Young Adult,161,1,yes
34,Management,single,tertiary,no,1058,yes,no,unknown,28,May,864,2,-1,0,unknown,Young Adult,162,1,yes
28,Student,single,secondary,no,949,yes,no,unknown,28,May,1730,1,-1,0,unknown,Young Adult,163,1,yes
51,Entrepreneur,married,unknown,no,606,yes,no,unknown,28,May,560,9,-1,0,unknown,Middle Aged,164,1,yes
35,Blue-Collar,married,secondary,no,0,yes,yes,unknown,29,May,543,1,-1,0,unknown,Young Adult,165,1,yes
35,Admin,married,secondary,no,404,yes,no,unknown,29,May,539,1,-1,0,unknown,Young Adult,166,1,yes
56,Blue-Collar,married,secondary,no,249,yes,no,unknown,29,May,791,2,-1,0,unknown,Middle Aged,167,1,yes
45,Unemployed,divorced,secondary,no,3354,yes,no,unknown,29,May,746,1,-1,0,unknown,Middle Aged,168,1,yes
60,Blue-Collar,divorced,secondary,no,0,yes,no,unknown,29,May,1207,1,-1,0,unknown,Elderly,169,1,yes
56,Technician,married,secondary,no,589,yes,no,unknown,29,May,535,2,-1,0,unknown,Middle Aged,170,1,yes
27,Management,single,tertiary,no,12956,yes,no,unknown,29,May,789,3,-1,0,unknown,Young Adult,171,1,yes
30,Admin,married,secondary,no,873,yes,no,unknown,29,May,792,3,-1,0,unknown,Young Adult,172,1,yes
45,Blue-Collar,divorced,primary,no,594,yes,no,unknown,29,May,833,2,-1,0,unknown,Middle Aged,173,1,yes
29,Blue-Collar,single,secondary,no,-20,yes,no,unknown,29,May,814,2,-1,0,unknown,Young Adult,174,1,yes
38,Management,divorced,tertiary,no,4692,yes,no,unknown,29,May,1363,2,-1,0,unknown,Young Adult,175,1,yes
30,Blue-Collar,married,secondary,no,486,yes,no,unknown,29,May,1109,3,-1,0,unknown,Young Adult,176,1,yes
44,Blue-Collar,single,primary,no,1593,yes,no,unknown,29,May,828,3,-1,0,unknown,Middle Aged,177,1,yes
36,Management,single,tertiary,no,7606,yes,no,unknown,30,May,917,1,-1,0,unknown,Young Adult,178,1,yes
38,Technician,married,secondary,no,226,yes,no,unknown,30,May,762,3,-1,0,unknown,Young Adult,179,1,yes
36,Blue-Collar,single,secondary,no,366,yes,yes,unknown,30,May,1133,2,-1,0,unknown,Young Adult,180,1,yes
37,Management,divorced,secondary,no,16,yes,no,unknown,30,May,638,1,-1,0,unknown,Young Adult,181,1,yes
35,Management,single,tertiary,no,565,yes,no,unknown,30,May,763,1,-1,0,unknown,Young Adult,182,1,yes
38,Admin,divorced,secondary,no,19,yes,no,unknown,30,May,604,2,-1,0,unknown,Young Adult,183,1,yes
40,Services,married,primary,no,1082,yes,no,unknown,30,May,854,2,-1,0,unknown,Middle Aged,184,1,yes
42,Unemployed,divorced,secondary,no,1713,yes,no,unknown,30,May,855,2,-1,0,unknown,Middle Aged,185,1,yes
46,Management,divorced,tertiary,no,14481,yes,no,unknown,30,May,1269,1,-1,0,unknown,Middle Aged,186,1,yes
35,Technician,divorced,secondary,no,5724,yes,no,unknown,30,May,691,10,-1,0,unknown,Young Adult,187,1,yes
34,Technician,divorced,secondary,no,1451,yes,no,unknown,30,May,1097,15,-1,0,unknown,Young Adult,188,1,yes
32,Services,married,secondary,no,-34,yes,no,unknown,30,May,1236,2,-1,0,unknown,Young Adult,189,1,yes
50,Unemployed,married,secondary,no,3674,yes,no,unknown,30,May,886,3,-1,0,unknown,Middle Aged,190,1,yes
35,Blue-Collar,married,secondary,no,698,yes,yes,unknown,30,May,1343,3,-1,0,unknown,Young Adult,191,1,yes
36,Technician,single,secondary,no,4136,yes,no,unknown,30,May,812,3,-1,0,unknown,Young Adult,192,1,yes
53,Blue-Collar,divorced,primary,no,2656,yes,no,unknown,30,May,1980,2,-1,0,unknown,Middle Aged,193,1,yes
46,Management,single,tertiary,no,2904,yes,no,unknown,30,May,984,2,-1,0,unknown,Middle Aged,194,1,yes
26,Management,single,tertiary,no,1004,yes,no,unknown,30,May,228,2,-1,0,unknown,Young Adult,195,1,yes
45,Technician,single,secondary,no,410,yes,no,unknown,30,May,891,4,-1,0,unknown,Middle Aged,196,1,yes
31,Unemployed,divorced,primary,no,0,yes,no,unknown,30,May,745,12,-1,0,unknown,Young Adult,197,1,yes
29,Management,single,tertiary,no,0,yes,no,unknown,30,May,539,12,-1,0,unknown,Young Adult,198,1,yes
53,Entrepreneur,single,secondary,no,62,yes,no,unknown,30,May,1044,5,-1,0,unknown,Middle Aged,199,1,yes
27,Blue-Collar,married,primary,no,416,yes,no,unknown,30,May,1193,2,-1,0,unknown,Young Adult,200,1,yes
39,Management,married,tertiary,no,2763,yes,no,unknown,2,Jun,526,2,-1,0,unknown,Young Adult,201,1,yes
36,Services,married,secondary,no,2984,yes,no,unknown,2,Jun,394,1,-1,0,unknown,Young Adult,202,1,yes
41,Blue-Collar,married,primary,no,143,yes,yes,unknown,2,Jun,659,2,-1,0,unknown,Middle Aged,203,1,yes
36,Services,married,primary,no,0,yes,no,unknown,2,Jun,1036,1,-1,0,unknown,Young Adult,204,1,yes
32,Technician,married,secondary,no,696,yes,no,unknown,2,Jun,815,1,-1,0,unknown,Young Adult,205,1,yes
35,Services,married,secondary,no,152,yes,no,unknown,2,Jun,563,1,-1,0,unknown,Young Adult,206,1,yes
36,Management,single,tertiary,no,-78,yes,no,unknown,2,Jun,1068,1,-1,0,unknown,Young Adult,207,1,yes
35,Management,married,tertiary,no,867,yes,no,unknown,2,Jun,230,3,-1,0,unknown,Young Adult,208,1,yes
30,Blue-Collar,single,secondary,no,953,yes,no,unknown,2,Jun,747,2,-1,0,unknown,Young Adult,209,1,yes
42,Blue-Collar,married,secondary,no,443,yes,no,unknown,2,Jun,671,5,-1,0,unknown,Middle Aged,210,1,yes
42,Technician,single,secondary,yes,-1129,yes,no,unknown,2,Jun,555,5,-1,0,unknown,Middle Aged,211,1,yes
32,Blue-Collar,married,primary,no,415,yes,no,unknown,2,Jun,777,4,-1,0,unknown,Young Adult,212,1,yes
29,Blue-Collar,single,secondary,no,260,yes,no,unknown,2,Jun,707,14,-1,0,unknown,Young Adult,213,1,yes
44,Management,divorced,tertiary,yes,-411,yes,no,unknown,2,Jun,432,4,-1,0,unknown,Middle Aged,214,1,yes
32,Technician,single,secondary,no,1279,yes,no,unknown,3,Jun,1173,3,-1,0,unknown,Young Adult,215,1,yes
31,Unemployed,married,secondary,no,86,yes,yes,unknown,3,Jun,963,2,-1,0,unknown,Young Adult,216,1,yes
40,Self-Employed,married,secondary,yes,-754,yes,yes,unknown,3,Jun,941,3,-1,0,unknown,Middle Aged,217,1,yes
43,Entrepreneur,married,secondary,no,0,no,no,unknown,3,Jun,1025,7,-1,0,unknown,Middle Aged,218,1,yes
27,Management,single,secondary,no,178,yes,no,unknown,3,Jun,732,2,-1,0,unknown,Young Adult,219,1,yes
37,Services,single,secondary,no,278,yes,no,unknown,3,Jun,1045,3,-1,0,unknown,Young Adult,220,1,yes
23,Services,single,secondary,no,425,yes,no,unknown,3,Jun,768,1,-1,0,unknown,Young Adult,221,1,yes
25,Management,married,primary,no,168,yes,no,unknown,3,Jun,801,1,-1,0,unknown,Young Adult,222,1,yes
26,Blue-Collar,single,secondary,yes,-36,yes,no,unknown,3,Jun,482,2,-1,0,unknown,Young Adult,223,1,yes
47,Blue-Collar,divorced,primary,no,126,yes,no,unknown,3,Jun,2456,2,-1,0,unknown,Middle Aged,224,1,yes
35,Admin,married,secondary,no,-87,yes,no,unknown,3,Jun,1363,7,-1,0,unknown,Young Adult,225,1,yes
32,Technician,single,tertiary,no,6281,yes,no,unknown,3,Jun,1336,4,-1,0,unknown,Young Adult,226,1,yes
45,Management,divorced,secondary,no,644,yes,no,unknown,4,Jun,633,1,-1,0,unknown,Middle Aged,227,1,yes
30,Admin,divorced,secondary,no,377,yes,no,unknown,4,Jun,524,15,-1,0,unknown,Young Adult,228,1,yes
29,Services,single,secondary,no,-271,yes,no,unknown,4,Jun,578,1,-1,0,unknown,Young Adult,229,1,yes
38,Blue-Collar,married,primary,no,5839,yes,no,unknown,4,Jun,984,2,-1,0,unknown,Young Adult,230,1,yes
23,Blue-Collar,single,secondary,no,492,yes,no,unknown,4,Jun,638,1,-1,0,unknown,Young Adult,231,1,yes
27,Management,single,tertiary,no,99,yes,no,unknown,4,Jun,767,2,-1,0,unknown,Young Adult,232,1,yes
27,Management,single,tertiary,yes,-713,yes,no,unknown,4,Jun,525,2,-1,0,unknown,Young Adult,233,1,yes
29,Services,single,secondary,no,32,yes,no,unknown,4,Jun,563,1,-1,0,unknown,Young Adult,234,1,yes
30,Self-Employed,married,tertiary,no,543,yes,yes,unknown,4,Jun,1449,6,-1,0,unknown,Young Adult,235,1,yes
36,Blue-Collar,married,primary,no,403,yes,no,unknown,4,Jun,920,1,-1,0,unknown,Young Adult,236,1,yes
35,Admin,divorced,secondary,no,437,yes,no,unknown,4,Jun,908,1,-1,0,unknown,Young Adult,237,1,yes
